 id,text,label
3637,"কারিকুলাম বা পাঠ্যসূচি তে রাখবে শুধু ইতিহাস আর ঐতিহ্য , , আর চাকরি দাতা প্রতিষ্ঠান চাইবে কর্মদক্ষতা আর অভিজ্ঞতা এরই নাম হচ্ছে চাকরি , , ! ! ",Negative
6414,"বিবিসি র চুলকায় । ",Negative
12701,"বাংলাদেশ ব্যাংক কর্মকর্তারা যে অনেক ভালো সে কারণে টাকায় পিন থাকে । ",Neutral
sentinob_173,"পুরো পর্ব দেখে অনেক সুনাম শুনলাম , সে অনুযায়ী রেটিং টা কমই মনে হল । আর রেটিং টা কেনো কম বা বেশি হল তা যদি একটু ব্যাখ্যা করতেন সামনের পর্বগুলোতে , আশা করি আরোও ভালো লাগবে । এখনও লাগছে । ♥ ",Positive
sentinob_5487,সিংহের মাংস কোথায় পাওয়া যায়,Neutral
6945,মানসিক ভাবে অসুস্থ,Negative
sentinob_8986,"আমি ভাবতাম , আমিই একমাত্র আজব মানুষ যার বাসমতির চেয়ে চিনিগুড়া ভালো লাগে ",Positive
sentinob_8608,বোরহনি তো দেয় । আমাকে তো দিছিল,Neutral
sentinob_10440,আমি তিনবার গেছি ভাইয়া বেষ্ট কাচ্ছি ওয়ালা,Positive
16921,"দেশের ফুটবলের বিভিন্ন অসংগতি নিয়ে প্রায়ই সমালোচনামুখর হন মারুফুল । বাফুফের একাডেমি , জাতীয় দল ও ঘরোয়া ফুটবল নিয়ে… ",Negative
sentinob_1263,হিন্দুরা বাংলদেশের জন্য যত কিছুই করুক তাও সে ভালো হবেনা,Negative
25493,"নিখোঁজ এসএসসি পরীক্ষার্থীর মরদেহ উদ্ধার ",Negative
11954,"তালেবান আরজিনাল ভণ্ড এখন নারি ক্রিকেট হারাম করলো কিছুদিন পর হালাল করবে । ১৯৯৬ সালে ১৫০০ বিষয় হারাম করেছিলো এবার তার ভিতর অনেক গুল হালাল করেছে । বাংলাদেশের সব তালেবানরা এখন বলছে নারি ক্রিকেট হারাম যখন ১০ থেকে ২০ বছর পরে তালেবান আবার বলবে নারিক্রিকেট হালাল । তখন বাংলাদেশের তালেবান আবার বলবে নারি ক্রিকেট হালাল । তালেবান যে ভণ্ড বাংলাদেশের তালেবান তা কোনদিন স্বিকার করবেনা । >এর-নাম , ভণ্ড , প্রতারক , মিথ্যাবাদী , সুবিধাবাদী , ক্ষমতালোভী , >সত্যকে কোনদিন স্বিকার করবেনা বাংলাদেশ তালেবান > আল্লাহ যেটা হারাম করে দিয়েছে সেটা আর কিয়ামত পর্যন্ত হালাল হবেনা । কিন্তূ তালেবান যখন হালাল বলছে তখন হালাল আর যখন হারাম বলছে তখন হারাম >তালেবান তার নিজের কথাকে আল্লার কথা বলে মানুষের কাছে চালিয়ে দেচ্ছে সাধারণ মানুষ তা খিয়াল করছেনা",Positive
32530,মিটফোর্ডে অভিযান চালাচ্ছে বিএসটিআই;ভেজাল প্রসাধনী কারখানা থেকে ৫ জন আটক,Positive
2427,"উন্নয়ন মোদের উন্নয়ন ! ",Negative
30205,বাইডেন ও ট্রাম্প - কে কীভাবে জয় পেতে পারেন মার্কিন নির্বাচনের সর্বশেষ আপডেট -,Positive
30115,করোনাভাইরাস প্রতিরোধের সব ব্যবস্থাই অনেক আগে ভেঙে পড়েছে বলে মনে করছেন বিশেষজ্ঞরা । বিস্তারিত পড়ুন--,Negative
sentinob_2650,সায়েম ভাই নতুন ভিডিও খুব ভাল হইছে । বউ বাচ্চা নিয়া এই মাশে দার্জিলিং যাচ্ছি,Positive
31021," * ১২টার দিকে মোংলা থেকে ঘূর্ণিঝড় ইয়াসের কেন্দ্র ২৮৭ কি. মি দূরে অবস্থান করবে: আবহাওয়া… ",Negative
sentinob_12440,ভাবিনি এত ভাল মানের হবে,Positive
sentinob_531,ভারতে আসার জন্য অসংখ্য ধন্যবাদ,Positive
sentinob_1867,"কমানো না , আল্লাহর নাম নিয়ে একদম ছেড়ে ই দিন , আপ্নার যা বয়স , এখনি ভাল সময় , আর ও পরে আর ছাড় তে পারবেন না ",Positive
16348," ‘ আমি ইভ্যালির একজন গ্রাহক । আমি অনেক পণ্য ইভ্যালিতে অর্ডার করেছি । কিন্তু পণ্য এখনো হাতে পাইনি । রাসেল ও শামীমা মুক্তি",Positive
30960," **নতুন সেনাপ্রধান লে. জে. এস এম শফিউদ্দিন আহমেদ **২৪ জুন দায়িত্ব নেবেন এস এম শফিউদ্দিন আহমেদ",Positive
sentinob_1086,"শুধু ঢাকার সহর থেকে নয় সারা বাংলাদেশ থেকে বিতাড়িত করা হোক , আর অর্থ অসহায় দুস্তদের মাঝে বিতরণ করা হোক ",Neutral
sentinob_7898,"ভাই নীলা মার্কেট কোথাই এটা ",Positive
4811,"তালেবানের ভাবমূর্তি নষ্ট করার জন্য তোমরা আর কি কি করবে ? ",Negative
sentinob_11155,ভালো লাগল দেখে । আপনার উপস্থাপনাটি ছিল ☺ হাসি খুশী আমেজের তাই শুনতেও ভালো লাগল,Positive
32993,"করোনায় আক্রান্ত হয়ে আরো ১ জনের মৃত্যু ",Negative
sentinob_10972,ওইখান এ কোন সিম ইউজ করছেন,Positive
8163,"সামাজিক শিক্ষা হোক আর আধ্যাত্মিক শিক্ষা হোক , সমস্ত শিক্ষার একটা বৈধ প্ল্যাটফর্ম যেমন থাকে , ঠিক তেমনি তার বিপরীতে একটা ভণ্ড , প্রতারণাপূর্ণ হাতুড়ে প্ল্যাটফর্মও আছে । এবার আমাদের সিদ্ধান্ত নিতে হবে যে মেডিক্যাল কেতাবপত্র বাজার থেকে জোগাড় করে কোনো ভণ্ড ডাক্তারি শিক্ষক যে শিক্ষা দিতে চাইছে তার আহ্বানে সাড়া দিয়ে তার কাছে যাওয়াটা কি সুস্থ মানুষের পরিচয় হবে ? তার কাছে বৈধ কেতাবপত্র আছে মানে এই নয় যে সেও বৈধ ! আমাদের এটা মাথায় রাখতে হবে যে ভণ্ডরা বৈধ কেতাবপত্র রাখে আস্থা অর্জন করে মাজার পূজারীর ফাঁদে সর্বস্ব লুটে নেওয়া । খাঁটিদের সঙ্গে পার্থক্যটা কোথায় আগে বুঝতে হবে । আর আমরা যাচাই বাছাই না করে ভণ্ডের খপ্পরে পড়ে , ঠকে গিয়ে আসল বৈধ খাঁটি শিক্ষকের প্রতি বিদ্বেষ নিয়ে দূরে সরে থাকার পরামর্শ দেওয়াটা কার পরিচয় বহন করে ভেবে দেখেছি কি আমরা ! আবার কেউ আছেন ভণ্ড , হাতুড়েদের নিকট ঠকে ঠকে বীতশ্রদ্ধ হয়ে বাজার থেকে ঞ্জাণের কেতাবপত্র কিনে এনে হাস্যকরভাবে নিজে নিজে ঞ্জাণ অর্জনের থিওরি প্রচার করে বেড়াচ্ছেন ! এ যেন দিলের সেই মনোরোগীর কাহিনী । একজন রুগী দীর্ঘদিন ধরে হাতুড়েদের নিকট সর্বস্ব খুইয়ে এখন সিদ্ধান্ত নিয়েছে যে বাজার থেকে ঞ্জাণের ডাক্তারি কেতাবপত্র কিনে নিয়ে মহব্বতের সঙ্গে মনোযোগ সহকারে পড়ে নিজে নিজের চিকিৎসা করার সিদ্ধান্ত ! ! সুতরাং জাহেরীর মতো বাতেনীর সুস্থতাও অপরিহার্য্য । আর তার জন্য অবশ্যই খাঁটি কামেল ওলী আল্লাহ সুফী আজানগাছী ( রহঃ ) -এ র দরবারে আসা জরুরী । ",Negative
sentinob_1099,"বাংলাদেশের পুলিশ আর কুত্তার লেজ একই সবই নাটক আসলে পুলিশই সব জংগী সন্ত্রাসের মুল হোতা দেশের পু * কি মারার জন্য বাংলাদেশের পুলিশই যথেষ্ট ",Negative
sentinob_10651,আফসোস । এইসব পুলিশ গুলাই সমাজে দূর্নীতি ছড়ানোর জন্য দায়ী,Negative
sentinob_4743,"ভাই গান গাইলে কি হারাম । আর আমি মুসলমান । আমি কি গানের গিটার বাজাতে পারবো ",Neutral
7844,"সত্য কখনো চাপা থাকেনা । ",Negative
19028,"মালয়েশিয়া যেতে ইচ্ছুক বাংলাদেশিদের জন্য সুখবর ",Positive
sentinob_1572,মিরপুর 1 এর মুক্তিযোদ্ধা মার্কেটের সাথে আল নূর মসজিদ । ঐ মসজিদের পাশের গলিতেই এই স্ট্রিটফুডের টং,Positive
13702,"সংযুক্ত আরব আমিরাত আমাদের থেকে অনেক উন্নত একটা দেশ , তাদের টাকাতে আপনি কোনো পিন পাবেন না । যদিও কোনো কারণে আপনার কাছে ছিড়া টাকা থাকে এবং তা যদি কেউ নিতে না চায় আপনি সাথে সাথে ৯৯৯কল করে পুলিশকে জানালে পুলিশ সাথে ব্যাবস্থা গ্রহন করে ফেলে । কিন্তু আমাদের দেশে এগুলো সবই বিপরীত মনে করেন ব্্যাংক আপনাকে ছিঁড়া টাকা দিলো আপনি ব্যাংক থেকে বের হয়ে দেখলেন টাকাটা ছিঁড়া খোদ ব্যাংক সেই টাকা নিতে অপারগতা প্রকাশ করে । আমি মনে করি আমাদের দেশে ব্যাংকে যারা চাকরি তাদেরকে দেশের বাহিরে বিভিন্ন রকমের ট্রেনিং গ্রহন করা উচিত । ",Neutral
13744,"সাত বছরের বল্টু যখন পরিমনীর প্রেমে পরে ! ! ",Neutral
26733,"মামলার ৪৮ ঘণ্টার মধ্যে খুনের রহস্য উদঘাটন , আসামি গ্রেপ্তার ও আদালতে.",Positive
sentinob_11531,"এই জাতীয় কিছু ব্যাক্তিদের জন্যই , দেশের উন্নয়ন আজ প্রশ্নবিদ্ধ  ",Negative
30765," **প্রশাসনের কর্মকর্তারা ভালো কাজে যেমন পুরস্কৃত হবেন , তেমনি খারাপ কাজ করলে শাস্তি পেতেই হ… ",Positive
31522,সরকারের সহযোগিতা চাইছে যুবলীগের প্রয়াত নেতার পরিবার,Positive
sentinob_10622,এত্ত যে মিস করসি আপনাকে কি বলবো ! এত এত রিভিউ দেখি তাও আপনাকে ভুলা যায় না । ভাইয়া আর গুম হয়ে যাবেন না প্লিজ । এভাবেই আমাদের সাথে থাকবেন,Positive
32857,"দুই দফা জানাজা শেষে সিলেটের সাবেক মেয়র বদর উদ্দিন আহমদ কামরানের দাফন সম্পন্ন ",Positive
sentinob_6387,মাকে এসবে জড়াবেন না । কোন মা চাইবেনা তার সন্তান এমন হোক,Neutral
472,Badhon,Negative
sentinob_2752,ভাই আমি বিভিন্ন জায়াগায় বাইক দিয়ে ঘুরি আর খাই গাজীপুরে আরও অনেক ভাল খাবারের হোটেল আছে,Positive
sentinob_6238,"কাওয়ায় খাবে কাউয়ার পুটকি ",Negative
sentinob_4966,লাচ্চির এক্সপ্রেশনটা সেই ছিল । আল্লাহর কসম,Positive
24654,মুক্তিযোদ্ধার জমি দখল করে ঘর নির্মাণের অভিযোগ প্রভাবশালীদের বিরুদ্ধে... https://t.co/Mp3Gj3sWU1,Negative
10528,"ইবার ওঠে পড়দি । এত ডুবোলি ঠান্ডা লাগে যাবিনি ! ",Neutral
sentinob_7421,"কমেন্ট বক্সে অনেকই আবেগে আপ্লুত আমাদের দেশে ক্রিকেটে রাজনীতি আছে ভারতে নেই ",Negative
17214,"তিনি বলেন , বিভিন্ন মাধ্যম থেকে যে তথ্য পাওয়া অনুসারে গ্রাহকদের ১৭ হাজার কোটি টাকা আত্মসাৎ করেছে তারা । এমনও ভুক্তভো",Negative
sentinob_9539,ভাই জোরে জোরে সাবক্রাইব করে দেলাম ভাই জান,Neutral
5128,দূর্ণীতি ও ক্ষমতার অপব্যবহার,Negative
sentinob_9357,অতি শীঘ্রই বাংলাদেশ ক্রিকেটের হেড কোচ হতে যাচ্ছেন তিনি । অভিনন্দন ❤️,Positive
sentinob_5341,"হা হা হা । এই প্রশ্নটা অবধারিতভাবে আসবে আমি আগেই জানতাম , ! হা হা হা  ",Neutral
9428,Mojammel Hoq স্যার যদি পার পাই তাই আর কি কারন এটা ওদের পেশা,Neutral
1416,অস্র বিক্রি আর আফগানিস্তানের প্রাকৃতিক খনিজ সম্পদ লুটের ধান্দা ছিলো এই হামলার মুল উদ্দেশ |,Negative
27665,কোভিড: ব্রিটেনের লাল তালিকা থেকে অ্যাম্বার তালিকায় বাংলাদেশ,Positive
19478,"ঋণমুক্ত হওয়ার দোয়া ও আমল ",Positive
sentinob_2017,আপনাদের একজন সদস্যের নাম তমাল আমার নিজের নাম তমাল আপনাদের ভিডিও গুল খুব ভাল,Positive
768,"Meer Shayem । জ ঙ্গী জ ঙ্গি ই থাকে , , জীতলেও মুক্তিযোদ্ধা হয় না",Negative
21563,"ডিজিটাল অপরাধীদের বিরুদ্ধে নির্মমতার সঙ্গে ব্যবস্থা নেওয়া উচিত: মোস্তাফা জব্বার ",Positive
sentinob_9345,চিন্তা করেন যারা বক্তব্যে দিচ্ছে তাদের কন্ঠ ও ছবি দেখাতে সাহস ও পায় না,Neutral
20314,"আসন্ন টি-টোয়েন্টি বিশ্বকাপে শ্রীলঙ্কার ‘ বাজি ’ কে এই রহস্য স্পিনার ? ",Positive
sentinob_90,এই পৃথিবীরই অন্য কোন প্রান্তে,Positive
28253,"লাউ চিংড়ি , বেগুন ভর্তা , খিচুড়ি , মাছ ভাজা , আমের টক , খাসির রেজালা - মাস্টারশেফ অস্ট্রেলিয়ার মতো আন্তর্জাতিক প্রতি… https://t.co/Ksdhz28qEL",Positive
sentinob_4888,পুরোনো খালেদ সাইফুল্লাহ ভাই এভং খাইদাই দুজনকেই একসাথে ফিরে পেলাম,Positive
sentinob_3747,তখন কি তিনি এমপি সাহেব দেশের সেবায় মনোযোগ দিবেন নাকি তার টাকা উঠানোর দিকে মনোযোগ দিবেন,Negative
10051,আপনি লোডশেডিংয়ের কথা বলেছেন আপনি খোঁজ নিয়ে দেখেন বাংলাদেশের অনেক গ্রামে বিদ্যুৎ ই নেই..,Neutral
7796,"শেখ হাসিনার বারতায় মন্তব্য দিচ্ছে আবার সব নিরিহ মানুষকে জেলে দিবে । এটা আর নতুন কি ভাই । ",Negative
11865,"তই ? ",Neutral
32984,"বছরে একবারও দেখা মেলে না কোনো ডাক্তারের ! ",Negative
26835,এমন আরও কয়েকটি আবেগময়ী স্ট্যাটাস দিয়েছিলেন কনস্টেবল মেহেদী হাসান,Negative
8911,"০+০=০ একটি অপ্রতিনিধিত্বশী ল সরকার আরও বড় অপ্রতিনিধিত্বশী ল সরকার আসার পথ প্রশস্ত করে । Raji সহকারি অধ্যাপক চট্টগ্রাম বিশ্ববিদ্যালয় । ",Neutral
sentinob_2981,আমার আপনাকে খাদ্য রসিক হিসেবে ভালো লাগে । ভ্রমন বিশেষজ্ঞ হিসেবে নয়,Negative
28535,"এক বিজেপি নেতার একটি বিতর্কিত টুইটকে কেন তারা 'ম্যানিপুলেটেড মিডিয়া' বা বিকৃত খবর বলে চিহ্নিত করেছে তাতেই এই অভিযান ",Negative
18041,মহিলা ও শিশুবিষয়ক মন্ত্রণালয়ের অর্থায়নে গাজীপুরের ইসলামপুর এলাকায় নির্মাণাধীন আটতলা ভবনটি মাদকসেবীদের আখড়ায় প…,Negative
sentinob_6100,ভাইয়া বান্দরবান আসেন কিছু পাহাড়ি খাবারের আছে যা আপনার ভালো লাগবে,Positive
21511,"ভারতে বিতর্কিত কৃষি আইন বাতিলের দাবিতে আবারও জোরালো হচ্ছে আন্দোলন । ",Positive
31421,টানা দুই হারের পর জয়ের স্বাদ পেল ইউভেন্তুস |,Positive
15671,সঠিক,Positive
3846,"ক্ষমা করার পরেও যদি ভালো নাহয় তাকে হত্যা করা ছাড়া কি করবে ! ",Negative
26217,"করোনার উৎপত্তি নিয়ে মার্কিন গোয়েন্দা রিপোর্ট প্রকাশ... ",Positive
20228,"শেখ রেহানাকে ওবায়দুল কাদেরের শুভেচ্ছা ",Positive
3964,গুজবে কান দিবেন নাঅনেকদিন পর বিবিসি আমাদের জন্য নিউজ তৈরি করেছে যেখানেই পশ্চিমাদের স্বার্থ আছে । সেখানে বিবিসি আছে,Negative
17569,সিনহা বাঁচার জন্য ‘ পানি পানি ’ করছিলেন । পানি না দিয়ে উল্টো সিনহার বুকে লাথি মারেন প্রদীপ । এরপর পা দিয়ে গলা চেপে ধ,Negative
sentinob_6013,আপনি অনেক খাবার খেয়ে বলেন না যে খাবার টা খেতে কেমন । খাবারটা আপনি রিকমেন্ড করেন কিনা । প্রতিটা খাবার যদি আরেকটু ভালোভাবে ব্যাখ্যা করতেন তাহলে আরো ভালো লাগতো,Neutral
24244,নিবন্ধিত আইসিটি শিক্ষকদের আবেদনের সুযোগ দিতে রুল https://t.co/5fmMTQAM4V,Positive
sentinob_2074,ভাই চাঁদপু‌রের লোক হ‌য়েও ঘুরার সময় থা‌কে না যাই হোক আপনা‌দের ধন্যবাদ আমা‌দের চাঁদপুর‌কে নি‌য়ে ভি‌ডিও করার জন্য,Positive
28103,দেশটিতে দিনে একবেলা খাবার খেয়ে টিকে থাকতে হচ্ছে অনেককে - এমনটা বলছে স্থানীয় গণমাধ্যম : ( https://t.co/rQihvFKo1L,Negative
13461,"শাক দিয়ে মাছ ঢাকার ব্যর্থ চেষ্টা না করাটাই ভালো । ",Neutral
2091,আর কোনো আবিস্কারের দরকার নাই । ছাতার মাথা আবিষ্কার করে করে স্টুডেন্টদের জীবনটা শেষ করে দিছে । কি বলো ? @Asma akter,Negative
sentinob_7407,দয়া করে আপনার স্ত্রী কে সাথে নিয়ে কোন ধরনের পোস্ট দিয়েন না,Negative
8429,"হায়রে মিথ্যা বাদী তোর কি লজ্জা শরম বলতে কিছু নেই । ",Negative
sentinob_2144,যে লোকটা এই ভিডিও টা শেয়ার করছে তাকে অনেক অনেক ধন্যবাদ এই ধরনের মুখোশ ধারী লুচচারা কখনো দেশের জন্য কিছু করতে পারে না শুধু লুচচামিই করে শালা চরিত্র হিন ওরে জুতা পিটা কর আগে,Negative
15863,"হে বাঘ , আমরা শান্তির নিশান নিয়ে এসেছিচলো সবাই বনে মিলেমিশে থাকি.",Positive
32403,সেবার মান না বাড়েনি কিন্তু বেড়েছে ফি,Positive
27859,"কোভিড: টিকার জন্য রেজিস্ট্রেশনকারীরা কবে টিকা পাবেন ? ",Positive
sentinob_2045,সায়মার বাবাকে দিয়ে ধর্ষককে গুলি করে হত্যা করা হউক,Neutral
19858,"পুলিশের স্ত্রীকে ধর্ষণের পর শ্বাসরোধে হত্যা ",Negative
30486," সঞ্চয়পত্রের মুনাফার হার কমিয়েছে সরকার; অভ্যন্তরীণ সম্পদ বিভাগের প্রজ্ঞাপন জারি",Negative
sentinob_3803,"শুধু এই খাবার না , অন্যান্য খাবারের ক্ষেত্রে ও খাবার সামনে নিয়ে হাত দিয়ে তুলে নেয়ার সময় , আপনি যেই হাসিটা দেন না , সেইটা আমার কাছে খুবই জোশ লাগে , একেবারে শিশুসুলভ ",Positive
30357,"করোনা ভাইরাস: ব্রাজিলে অক্সফোর্ডের ভ্যাকসিন ট্রায়ালে অংশগ্রহণকারীর মৃত্যু , কোন নিরাপত্তা ঝুঁকি পাওয়া যায়নি",Negative
sentinob_3249,"যাই হোক যেহেতু আমি এটা নিয়ে বেশি আলোচনা করতে চাই না , তাই দুটো কথা খুব স্পষ্টভাবে বলে শেষ করছি ",Neutral
sentinob_2603,আমাদের উওরায় এমন পাওয়া যায়,Positive
17014,সাক্ষাৎকারে মাহমুদউল্লাহ.,Positive
11635,ছবি কি রিপোর্টারের ক্যামেরাম্যান তুলছে নাকি শাহিনের পেইজ থেকে নিছেজানতে চাওয়া আমার মন,Neutral
17924,"তিন মাস পরে আমি জানলাম , আয়হামকে ওরা মেরে ফেলেছে । আমরা শোকে স্তব্ধ হলাম । তার আত্মার মাগফিরাত কামনায়...… ",Negative
15683,"সঠিক । ",Positive
11584,"চলিতেছে নতুন সার্কাস । ",Neutral
28639,"বাংলাদেশে গত ২৪ ঘণ্টায় করোনাভাইরাসে মারা গেছেন ৫৭ জন , নতুন করে শনাক্ত হয়েছেন ২ , ১৭৭ জন ",Positive
sentinob_1698,"ইনশাআল্লাহ কিছু হবে না , হে আল্লাহ আপনি পদ্মা সেতুকে হেফাজত করুন আমিন ",Positive
288,"৯ তলা ভবন ধাক্কা দিয়ে ফেলিয়া দিয়েছিল মকা আলমগীরে ! ! ! ! ",Negative
sentinob_5660,তোমাদের দুই জামাই বউ এর প্রেমে পরে গেছি☺,Positive
31311," **করোনার কারণে রাজধানীতে রাত ৮টার মধ্যে দোকান বন্ধের অনুরোধ দক্ষিণ ঢাকার মেয়রের",Positive
sentinob_5209,"আবরার মারা গিয়ে বাঁচিয়ে গিয়েছে অনেক ছাত্র ছাত্রীদের স্বাধীনতা কে ",Positive
22783," ‘ ২ বছরে রোহিঙ্গা ক্যাম্প থেকে ২২০০ অপরাধী গ্রেফতার করা হয়েছে ’ https://t.co/WqKFc4fYCP",Negative
sentinob_1552,"আপনার পিল্জ , অসহায় লোকটি পাশে দাড়ান ",Positive
16911,"এলাকাবাসীর ভাষ্য , গ্রামে পুলিশ পৌঁছার আগেই ওই চারজন পালিয়ে যান । এরপর পুলিশ হেনস্তার শিকার নারীকে থানায় নিয়ে...… ",Negative
sentinob_2349,"যমুনা টেলিভিশন কে সত্যিই একটি আন্তরিক ধন্যবাদ , এইরূপ ধারা অক্ষুণ্ন রাখতে পারলে , ইনশাল্লাহ আগামীতে যমুনা টিভি হবে এক নম্বর ",Positive
9953,"আগামীতে ইলেকশ্যান । ",Neutral
sentinob_12129,তবে আমার মনে হয় অপচয় করাটা ঠিক নয় । আর যে প্লেটের ভাত কাস্টমার হাত রাখেনি সে ভাত আবার সার্ভ করলে মনে হয়না কোন প্রবলেম হবে,Positive
21516,"দুর্দান্ত জয়ে কাতার বিশ্বকাপে যাওয়ার পথটা অনেকটাই মসৃণ ইংল্যান্ডের । ",Positive
sentinob_10888,"অবশ্যই , তবে আমরা সব সময় ফ্যামিলি এবং ম্যাচিউরিটিকে প্রাওরিটি দেই : ) ",Neutral
20469,"৫০ শয্যা স্বাস্থ্য কমপ্লেক্সে ৩ বছর পর নরমাল ডেলিভারি ",Positive
sentinob_981,এইখানে খাবার নিয়ে নাটক চলে আর দেশের বিভিন্না জায়গায় বন্যায়কবলিত মানুষ খাবার পায় না,Negative
sentinob_476,শুধু পাসপোর্ট থাকলেই হবে ? আর প্রতিজন খরচ কত,Neutral
15385,"বিজ্ঞান , অর্থনীতি , তথ্য প্রযুক্তি , আধুনিক চিকিৎসা ও পশ্চিমা ধারা ইউনিভার্সিটি এগুলো বাদ দিয়ে শুধু কওমি মাদ্রসা প্রতিষ্ঠা করবে ! ! কুরআন ও হাদীছ শিক্ষা ছাড়া সকল শিক্ষা বাতিল করা হউক ! ! চিকিৎসা হবে ঝাড় ফু ও আয়ুর্বেদিক ! ! এর আগে ১৯৯৬-২০০১ সালে তালেবান ক্ষমতায় থাকা কালীন টিভি স্টেশন , কাবুল ইউনিভার্সিটি বন্ধ করে দিয়েছিলো তখন ছবি তোলা হারাম ফাতওয়া ছিল ! ",Positive
sentinob_4682,আপনার যেন অনেক ওয়েট গেইন হয়,Neutral
19074,"ঢাকায় আসছেন কৌশানী ",Positive
sentinob_12076,কত টাকা হলে 6দিন ভূটান থেকে ঘুরে অাসা যাবে । বা কি কি লাগবে যেতে,Positive
sentinob_10990,"দারুণ হইছে ভাই , ইনশাআল্লাহ্ আমরা এভাবেই মিলেমিশে থাকবো ",Positive
sentinob_5447,"আরো যারা অত্যাচারের সাথে জড়িত তাদের বিরুদ্ধে প্রশাসনকে ব্যবস্থা নিতে হবে নাচের কিছু সময় পর আবার তারা জেগে উঠবে ",Positive
sentinob_546,"শয়তান এখন আর শয়তানি করে না , বইসা বইসা পুলিশের শয়তানি দেখে  ",Negative
10559,ইসলামী ধারার,Negative
sentinob_5320,"ইরান যে একটা একটা বাঘের বাচ্চা তা আবার প্রমাণ প্রমাণ করলো । সৌদি হলো ইসরায়েল ও আমেরিকার দালাল ",Negative
11911,তার কারণ উনি ইজরায়েলের লোক মুসলমান নাম লাগেলা সে মুসলমান হয় না,Neutral
15800,সে শুধু বিশ্ববিদ্যলয় কেনো স্কুলেও করা উচিত ছিলো,Positive
sentinob_3091,সাংবাদিক ভাইয়েরা এখনো সময় আছে সবাই একত্রিত হন অন্যায়ের বিরুদ্ধে । না হয় দেশের রাজা পুলিশ কাউকে ছাড়বে না । পুলিশের জবাবদিহিতা না থাকার কারণে যা ইচ্ছা তা করে যাচ্ছে,Neutral
sentinob_6773,এরা লেখাপড়া করতে গেছে অথচ এদেরকে কত প্রকার অমক তমক সম্পাদক বানানো হয়েছে এই ক্ষমতার করনেই এরা বকাটে বেয়াদপ হয়েছে । সার বাংলাদেশের কলেজ থেকে এই নিয়ম বাদ দেওয়া হক,Neutral
15649,"শুধু পাট না ধান , পেয়াজ , রসুনে র ও যদি ভালো পাওয়া যায় তাহলে দেখবেন কৃষকরা আরো বেশি বেশি উৎপাদন করবে এতে বৈদেশিক নির্ভরশীলতা অনেকাংশে কমে যাবে । আমার এলাকায় গত বছর পেয়াজের ভালো দাম ছিলো বলে এবার প্রচুর পেয়াজ চাষ করেছিল কিন্তু এবার আবার দাম কম সামনের অনেকেই এজন্য চাষ কমিয়ে দিবে । ",Positive
16653,"নিউজিল্যান্ডের সিদ্ধান্তে হতাশ পাকিস্তানের সাবেক ও বর্তমান ক্রিকেটাররা । সাবেক ফাস্ট বোলার শোয়েব আখতার বলেছেন , পাকি… ",Negative
4874,তোদের এইসব বাজে খবর এখন সাধারণ মানুষ আমলে নেয়না,Negative
